Historia de Procesamiento del Autómata:
Carácter	EstadoAnterior	EstadoSiguiente	Posición(x,y)
'L'	A	A	(1,1)
'a'	A	B	(2,1)
' '	B	A	(3,1)
'v'	A	D	(4,1)
'i'	D	H	(5,1)
'o'	H	L	(6,1)
'l'	L	Q	(7,1)
'e'	Q	A	(8,1)
'n'	A	A	(9,1)
'c'	A	A	(10,1)
'i'	A	A	(11,1)
'a'	A	B	(12,1)
' '	B	A	(13,1)
'c'	A	A	(14,1)
'o'	A	A	(15,1)
'n'	A	A	(16,1)
't'	A	A	(17,1)
'r'	A	A	(18,1)
'a'	A	B	(19,1)
' '	B	A	(20,1)
'l'	A	A	(21,1)
'a'	A	B	(22,1)
's'	B	A	(23,1)
' '	A	A	(24,1)
'm'	A	C	(25,1)
'u'	C	A	(26,1)
'j'	A	A	(27,1)
'e'	A	A	(28,1)
'r'	A	A	(29,1)
'e'	A	A	(30,1)
's'	A	A	(31,1)
' '	A	A	(32,1)
'e'	A	A	(33,1)
's'	A	A	(34,1)
' '	A	A	(35,1)
'u'	A	A	(36,1)
'n'	A	A	(37,1)
' '	A	A	(38,1)
'p'	A	A	(39,1)
'r'	A	A	(40,1)
'o'	A	A	(41,1)
'b'	A	A	(42,1)
'l'	A	A	(43,1)
'e'	A	A	(44,1)
'm'	A	C	(45,1)
'a'	C	G	(46,1)
' '	G	A	(47,1)
'g'	A	A	(48,1)
'l'	A	A	(49,1)
'o'	A	A	(50,1)
'b'	A	A	(51,1)
'a'	A	B	(52,1)
'l'	B	A	(53,1)
'.'	A	A	(54,1)
' '	A	A	(55,1)
'E'	A	A	(56,1)
'l'	A	A	(57,1)
' '	A	A	(58,1)
'a'	A	B	(59,1)
'c'	B	E	(60,1)
'o'	E	P	(61,1)
's'	P	V	(62,1)
'o'	V	β	(63,1)
' '	A	A	(64,1)
'y'	A	A	(65,1)
' '	A	A	(66,1)
'e'	A	A	(67,1)
'l'	A	A	(68,1)
' '	A	A	(69,1)
'a'	A	B	(70,1)
'c'	B	E	(71,1)
'e'	E	O	(72,1)
'c'	O	U	(73,1)
'h'	U	α	(74,1)
'o'	α	θ	(75,1)
' '	A	A	(76,1)
's'	A	A	(77,1)
'o'	A	A	(78,1)
'n'	A	A	(79,1)
' '	A	A	(80,1)
'f'	A	A	(81,1)
'o'	A	A	(82,1)
'r'	A	A	(83,1)
'm'	A	C	(84,1)
'a'	C	G	(85,1)
's'	G	A	(86,1)
' '	A	A	(87,1)
'd'	A	A	(88,1)
'e'	A	A	(89,1)
' '	A	A	(90,1)
'a'	A	B	(91,1)
'g'	B	F	(92,1)
'r'	F	J	(93,1)
'e'	J	N	(94,1)
's'	N	S	(95,1)
'i'	S	Y	(96,1)
'ó'	Y	ζ	(97,1)
'n'	ζ	λ	(98,1)
'.'	A	A	(99,1)
'\n'	A	A	(100,1)
'E'	A	A	(1,2)
'n'	A	A	(2,2)
' '	A	A	(3,2)
'm'	A	C	(4,2)
'u'	C	A	(5,2)
'c'	A	A	(6,2)
'h'	A	A	(7,2)
'o'	A	A	(8,2)
's'	A	A	(9,2)
' '	A	A	(10,2)
'c'	A	A	(11,2)
'a'	A	B	(12,2)
's'	B	A	(13,2)
'o'	A	A	(14,2)
's'	A	A	(15,2)
','	A	A	(16,2)
' '	A	A	(17,2)
'l'	A	A	(18,2)
'a'	A	B	(19,2)
's'	B	A	(20,2)
' '	A	A	(21,2)
'v'	A	D	(22,2)
'í'	D	I	(23,2)
'c'	I	M	(24,2)
't'	M	R	(25,2)
'i'	R	X	(26,2)
'm'	X	ε	(27,2)
'a'	ε	κ	(28,2)
's'	G	A	(29,2)
' '	A	A	(30,2)
'e'	A	A	(31,2)
'n'	A	A	(32,2)
'f'	A	A	(33,2)
'r'	A	A	(34,2)
'e'	A	A	(35,2)
'n'	A	A	(36,2)
't'	A	A	(37,2)
'a'	A	B	(38,2)
'n'	B	A	(39,2)
' '	A	A	(40,2)
's'	A	A	(41,2)
'i'	A	A	(42,2)
't'	A	A	(43,2)
'u'	A	A	(44,2)
'a'	A	B	(45,2)
'c'	B	E	(46,2)
'i'	E	A	(47,2)
'o'	A	A	(48,2)
'n'	A	A	(49,2)
'e'	A	A	(50,2)
's'	A	A	(51,2)
' '	A	A	(52,2)
'd'	A	A	(53,2)
'e'	A	A	(54,2)
' '	A	A	(55,2)
'a'	A	B	(56,2)
'b'	B	A	(57,2)
'u'	A	A	(58,2)
's'	A	A	(59,2)
'o'	A	A	(60,2)
' '	A	A	(61,2)
'c'	A	A	(62,2)
'o'	A	A	(63,2)
'n'	A	A	(64,2)
's'	A	A	(65,2)
't'	A	A	(66,2)
'a'	A	B	(67,2)
'n'	B	A	(68,2)
't'	A	A	(69,2)
'e'	A	A	(70,2)
','	A	A	(71,2)
' '	A	A	(72,2)
'q'	A	A	(73,2)
'u'	A	A	(74,2)
'e'	A	A	(75,2)
' '	A	A	(76,2)
'i'	A	A	(77,2)
'n'	A	A	(78,2)
'c'	A	A	(79,2)
'l'	A	A	(80,2)
'u'	A	A	(81,2)
'y'	A	A	(82,2)
'e'	A	A	(83,2)
'n'	A	A	(84,2)
' '	A	A	(85,2)
'a'	A	B	(86,2)
'c'	B	E	(87,2)
't'	E	A	(88,2)
'o'	A	A	(89,2)
's'	A	A	(90,2)
' '	A	A	(91,2)
'm'	A	C	(92,2)
'a'	C	G	(93,2)
'c'	G	K	(94,2)
'h'	K	Ñ	(95,2)
'i'	Ñ	T	(96,2)
's'	T	Z	(97,2)
't'	Z	η	(98,2)
'a'	η	μ	(99,2)
's'	G	A	(100,2)
'.'	A	A	(101,2)
'\n'	A	A	(102,2)
'A'	A	B	(1,3)
'd'	B	A	(2,3)
'e'	A	A	(3,3)
'm'	A	C	(4,3)
'á'	C	A	(5,3)
's'	A	A	(6,3)
','	A	A	(7,3)
' '	A	A	(8,3)
'l'	A	A	(9,3)
'a'	A	B	(10,3)
's'	B	A	(11,3)
' '	A	A	(12,3)
'd'	A	A	(13,3)
'e'	A	A	(14,3)
'n'	A	A	(15,3)
'u'	A	A	(16,3)
'n'	A	A	(17,3)
'c'	A	A	(18,3)
